doc_id,rank_original,rank_modificado,relevant,status,query_id,model
103,1.0,,False,saiu,5,Vector
1032,2.0,,False,saiu,5,Vector
367,3.0,,False,saiu,5,Vector
410,4.0,,False,saiu,5,Vector
1158,5.0,3.0,False,manteve,5,Vector
401,6.0,6.0,True,manteve,5,Vector
368,7.0,,False,saiu,5,Vector
26,8.0,,False,saiu,5,Vector
552,9.0,2.0,True,manteve,5,Vector
943,10.0,,False,saiu,5,Vector
488,,1.0,False,entrou,5,Vector
1296,,4.0,True,entrou,5,Vector
517,,5.0,False,entrou,5,Vector
574,,7.0,False,entrou,5,Vector
1254,,8.0,False,entrou,5,Vector
441,,9.0,False,entrou,5,Vector
1061,,10.0,False,entrou,5,Vector
103,1.0,,False,saiu,5,BM25
1032,2.0,,False,saiu,5,BM25
401,3.0,3.0,True,manteve,5,BM25
943,4.0,,False,saiu,5,BM25
552,5.0,2.0,True,manteve,5,BM25
1296,6.0,5.0,True,manteve,5,BM25
968,7.0,,False,saiu,5,BM25
625,8.0,6.0,False,manteve,5,BM25
488,9.0,1.0,False,manteve,5,BM25
368,10.0,,False,saiu,5,BM25
574,,4.0,False,entrou,5,BM25
101,,7.0,False,entrou,5,BM25
1286,,8.0,False,entrou,5,BM25
441,,9.0,False,entrou,5,BM25
1061,,10.0,False,entrou,5,BM25
102,1.0,,False,saiu,9,Vector
45,2.0,8.0,False,manteve,9,Vector
398,3.0,1.0,False,manteve,9,Vector
983,4.0,2.0,False,manteve,9,Vector
554,5.0,3.0,False,manteve,9,Vector
5,6.0,,False,saiu,9,Vector
846,7.0,,False,saiu,9,Vector
763,8.0,,False,saiu,9,Vector
123,9.0,4.0,False,manteve,9,Vector
145,10.0,5.0,False,manteve,9,Vector
347,,6.0,False,entrou,9,Vector
120,,7.0,False,entrou,9,Vector
303,,9.0,False,entrou,9,Vector
872,,10.0,False,entrou,9,Vector
45,1.0,1.0,False,manteve,9,BM25
102,2.0,,False,saiu,9,BM25
549,3.0,2.0,False,manteve,9,BM25
270,4.0,3.0,False,manteve,9,BM25
983,5.0,4.0,False,manteve,9,BM25
398,6.0,5.0,False,manteve,9,BM25
221,7.0,,False,saiu,9,BM25
123,8.0,6.0,False,manteve,9,BM25
303,9.0,7.0,False,manteve,9,BM25
144,10.0,8.0,False,manteve,9,BM25
101,,9.0,False,entrou,9,BM25
347,,10.0,False,entrou,9,BM25
548,1.0,1.0,False,manteve,180,Vector
622,2.0,2.0,True,manteve,180,Vector
616,3.0,3.0,True,manteve,180,Vector
314,4.0,4.0,False,manteve,180,Vector
218,5.0,6.0,False,manteve,180,Vector
1103,6.0,5.0,False,manteve,180,Vector
617,7.0,7.0,True,manteve,180,Vector
613,8.0,8.0,False,manteve,180,Vector
807,9.0,10.0,False,manteve,180,Vector
806,10.0,,False,saiu,180,Vector
1147,,9.0,False,entrou,180,Vector
548,1.0,1.0,False,manteve,180,BM25
622,2.0,2.0,True,manteve,180,BM25
616,3.0,3.0,True,manteve,180,BM25
617,4.0,4.0,True,manteve,180,BM25
719,5.0,7.0,False,manteve,180,BM25
1391,6.0,8.0,False,manteve,180,BM25
882,7.0,9.0,False,manteve,180,BM25
218,8.0,,False,saiu,180,BM25
620,9.0,6.0,True,manteve,180,BM25
1103,10.0,5.0,False,manteve,180,BM25
1147,,10.0,False,entrou,180,BM25
633,1.0,1.0,False,manteve,30,Vector
602,2.0,8.0,False,manteve,30,Vector
683,3.0,2.0,False,manteve,30,Vector
513,4.0,3.0,False,manteve,30,Vector
752,5.0,10.0,False,manteve,30,Vector
1058,6.0,,False,saiu,30,Vector
222,7.0,7.0,False,manteve,30,Vector
1070,8.0,,False,saiu,30,Vector
601,9.0,,False,saiu,30,Vector
420,10.0,,False,saiu,30,Vector
464,,4.0,True,entrou,30,Vector
465,,5.0,False,entrou,30,Vector
19,,6.0,False,entrou,30,Vector
