query_id,precision@50,recall@50,AP,RR
1,0.22,0.39285714285714285,0.2451879890745507,1.0
2,0.1,0.20833333333333334,0.18722173074625534,1.0
3,0.14,0.875,0.6677229225023343,0.5
4,0.04,1.0,0.5384615384615384,1.0
5,0.06,0.75,0.13801540119593939,0.125
6,0.06,0.75,0.15859573119188505,0.2
7,0.06,0.6,0.1461117364853815,0.3333333333333333
8,0.1,0.45454545454545453,0.1998867824994212,0.5
9,0.02,0.3333333333333333,0.035449735449735446,0.06666666666666667
10,0.1,0.625,0.2452710152279118,1.0
11,0.08,0.5714285714285714,0.18027438400109208,0.3333333333333333
12,0.06,0.6,0.07993221476179418,0.1111111111111111
13,0.0,0.0,0.0028561287232483383,0.002652519893899204
14,0.04,1.0,0.35,0.5
15,0.04,1.0,0.75,1.0
16,0.04,0.6666666666666666,0.2621951219512195,0.5
17,0.02,0.5,0.178714859437751,0.3333333333333333
18,0.04,0.6666666666666666,0.12952227344887224,0.3333333333333333
19,0.0,0.0,0.008362049848460444,0.010101010101010102
20,0.16,0.8888888888888888,0.535359928397903,0.5
21,0.06,0.75,0.22204301075268817,0.5
22,0.0,0.0,0.001002004008016032,0.001002004008016032
23,0.22,0.34375,0.182076338610351,0.5
24,0.06,1.0,0.46883468834688347,1.0
25,0.14,0.7777777777777778,0.4551708810220341,1.0
26,0.08,0.6666666666666666,0.19584596725288053,0.3333333333333333
27,0.02,0.3333333333333333,0.05847908616364992,0.125
28,0.0,0.0,0.004560685033507074,0.004901960784313725
29,0.12,0.6666666666666666,0.3225695353011328,1.0
30,0.04,0.2857142857142857,0.05912721874978171,0.14285714285714285
31,0.0,0.0,0.0007246376811594203,0.0007246376811594203
32,0.02,0.16666666666666666,0.02380629791892389,0.022727272727272728
33,0.06,1.0,0.2970760233918129,0.3333333333333333
34,0.12,1.0,0.2647041062801932,0.25
35,0.02,0.3333333333333333,0.025608600662596345,0.047619047619047616
36,0.02,0.5,0.0883777239709443,0.14285714285714285
